location,total_sqft,bathroom,price,bhk
Electronics City Phase 1,1113.12,2.0,55.0,2
Uttarahalli,1200.0,2.0,44.0,2
other,1100.0,2.0,60.0,2
Sarjapur,900.0,2.0,27.98,2
Balagere,656.0,1.0,38.77,1
Raja Rajeshwari Nagar,1278.0,2.0,53.76,3
Kaggalipura,700.0,1.0,36.0,1
7th Phase JP Nagar,1420.0,3.0,90.0,3
Koramangala,1866.0,4.0,245.0,3
Neeladri Nagar,1100.0,2.0,30.0,2
other,1768.0,3.0,95.0,3
Cox Town,1730.0,3.0,140.0,3
Marathahalli,1125.0,2.0,54.8,2
other,648.0,1.0,40.0,1
Haralur Road,1285.0,2.0,78.0,2
