date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2
1/11/2016 17:00,60,30,19.89,47.59666667,19.2,44.79,19.79,44.73,19,45.56666667,17.16666667,55.2,7.026666667,84.25666667,17.2,41.62666667,18.2,48.9,17.03333333,45.53,6.60E+00,733.5,92,7,63,5.30E+00,13.27543316,13.27543316
1/11/2016 17:10,60,30,19.89,46.69333333,19.2,44.7225,19.79,44.79,19,45.9925,17.16666667,55.2,6.833333333,84.06333333,17.2,41.56,18.2,48.86333333,17.06666667,45.56,6.48E+00,733.6,92,6.666666667,59.16666667,5.20E+00,18.60619498,18.60619498
1/11/2016 17:20,50,30,19.89,46.3,19.2,44.62666667,19.79,44.93333333,18.92666667,45.89,17.16666667,55.09,6.56,83.15666667,17.2,41.43333333,18.2,48.73,17,45.5,6.37E+00,733.7,92,6.333333333,55.33333333,5.10E+00,28.64266817,28.64266817
1/11/2016 17:30,50,40,19.89,46.06666667,19.2,44.59,19.79,45,18.89,45.72333333,17.16666667,55.09,6.433333333,83.42333333,17.13333333,41.29,18.1,48.59,17,45.4,6.25E+00,733.8,92,6,51.5,5.00E+00,45.4103895,45.4103895
1/11/2016 17:40,60,40,19.89,46.33333333,19.2,44.53,19.79,45,18.89,45.53,17.2,55.09,6.366666667,84.89333333,17.2,41.23,18.1,48.59,17,45.4,6.13E+00,733.9,92,5.666666667,47.66666667,4.90E+00,10.08409655,10.08409655
1/11/2016 17:50,50,40,19.89,46.02666667,19.2,44.5,19.79,44.93333333,18.89,45.73,17.13333333,55.03,6.3,85.76666667,17.13333333,41.26,18.1,48.59,17,45.29,6.02E+00,734,92,5.333333333,43.83333333,4.80E+00,44.91948425,44.91948425
1/12/2016 3:30,40,0,20.42666667,46.23,19.79,44.53,20.2,45.4,20.39,46.16333333,18.63333333,50.03,3.895,94.045,17.89,46.2,19.2,55.03,17,48.09,4.85E+00,739.25,92.5,5,40,3.70E+00,16.61973371,16.61973371
1/12/2016 3:40,50,0,20.39,46.29,19.76,44.59,20.2,45.4,20.29,46.2,18.6,50,4.19,94.65666667,17.89,46.2,19.2,54.86333333,17.06666667,48.29,4.87E+00,739.3666667,92.66666667,5.333333333,40,3.73E+00,32.54352335,32.54352335
1/12/2016 3:50,50,0,20.39,46.36333333,19.7,44.59,20.2,45.5,20.23,46.26,18.6,50,4.263333333,94.79666667,17.89,46.12666667,19.2,54.73,17.06666667,48.36333333,4.88E+00,739.4833333,92.83333333,5.666666667,40,3.77E+00,12.90083904,12.90083904
1/12/2016 4:00,40,0,20.29,46.5,19.7,44.7,20.26,45.5,20.1,46.29,18.6,50,4.463333333,95.03,17.89,46.09,19.1,54.56,17.03333333,48.46333333,4.90E+00,739.6,93,6,40,3.80E+00,23.92726241,23.92726241
1/12/2016 4:10,50,0,20.29,46.545,19.63333333,44.62666667,20.29,45.5,20.03333333,46.29,18.53333333,50,4.59,95.03,17.89,45.92,19.1,54.5,17.03333333,48.59,4.92E+00,739.65,92.66666667,5.833333333,40,3.77E+00,38.31553353,38.31553353
1/12/2016 4:20,40,0,20.23,46.5,19.6,44.59,20.29,45.5,20,46.4,18.5,50,4.726666667,94.86666667,17.89,45.73,19.1,54.5,17.03333333,48.76666667,4.93E+00,739.7,92.33333333,5.666666667,40,3.73E+00,4.212345718,4.212345718
1/12/2016 4:30,40,0,20.2,46.43333333,19.6,44.59,20.29,45.5,19.92666667,46.46666667,18.5,50,4.8,94.72666667,17.89,45.7,19.1,54.5,17.03333333,48.9,4.95E+00,739.75,92,5.5,40,3.70E+00,43.7660665,43.7660665
3/22/2016 10:20,30,0,21.29,38.2,21.86,37.72333333,21.85666667,36.56,21.66666667,35.96666667,19,46.4,8.1,39.92333333,19.56666667,34.46666667,21.39,40.12666667,19.7,38.36333333,8.47E+00,758,66.66666667,2,28.66666667,2.60E+00,18.58423461,18.58423461
3/22/2016 10:30,30,0,21.29,38.2,22.06666667,37.46333333,21.79,36.5,21.7,35.9,19,46.4,8.5,34.66333333,19.56666667,34.4,21.39,40.06666667,19.7,38.5,8.75E+00,757.95,65,2,31.5,2.50E+00,21.8350674,21.8350674
3/22/2016 10:40,30,0,21.29,38.16333333,22.32333333,36.99,21.79,36.5,21.7,35.9,19,46.4,8.83,32.12333333,19.6,34.26,21.39,39.76,19.7,38.5,9.03E+00,757.9,63.33333333,2,34.33333333,2.40E+00,37.12144977,37.12144977
3/22/2016 10:50,50,0,21.35666667,38.09,22.46333333,36.65666667,21.79,36.5,21.79,35.79,19,46.4,9.03,32.79,19.6,34.12666667,21.39,39.62666667,19.7,38.5,9.32E+00,757.85,61.66666667,2,37.16666667,2.30E+00,0.555064937,0.555064937
3/22/2016 11:00,60,0,21.39,38.06,22.6,36.33333333,21.79,36.5,21.79,35.79,19,46.4,9.256666667,31.89333333,19.6,34.09,21.39,39.46666667,19.7,38.5,9.60E+00,757.8,60,2,40,2.20E+00,2.345018287,2.345018287
3/22/2016 11:10,60,0,21.39,38,22.66666667,36.12666667,21.79,36.46666667,21.79,35.7,19,46.4,9.463333333,31.56666667,19.6,34.03,21.39,39.32666667,19.7,38.5,9.77E+00,757.7666667,59.5,2,37.83333333,2.23E+00,18.5908926,18.5908926
3/22/2016 11:20,40,0,21.42666667,38,22.7,36,21.85666667,36.52666667,21.79,35.7,19,46.32666667,9.63,30.42666667,19.6,33.96666667,21.46,39.2,19.7,38.5,9.93E+00,757.7333333,59,2,35.66666667,2.27E+00,32.90783811,32.90783811
3/22/2016 11:30,50,0,21.5,38,22.675,35.8975,21.89,36.59,21.82333333,35.7,19,46.29,9.823333333,28.03333333,19.6,33.9,21.6,39.06666667,19.7,38.53,1.01E+01,757.7,58.5,2,33.5,2.30E+00,26.48250785,26.48250785
5/27/2016 17:20,100,0,25.56666667,46.56,25.89,42.02571429,27.2,41.16333333,24.7,45.59,23.2,52.4,24.79666667,1,24.5,44.5,24.7,50.074,23.2,46.79,2.27E+01,755.2,55.66666667,3.333333333,23.66666667,1.33E+01,43.09681187,43.09681187
5/27/2016 17:30,90,0,25.5,46.5,25.754,42.08,27.13333333,41.22333333,24.7,45.59,23.23,52.32666667,24.19666667,1,24.55714286,44.41428571,24.7,49.79,23.2,46.79,2.26E+01,755.2,56,3.5,24.5,1.33E+01,49.28293972,49.28293972
5/27/2016 17:40,270,10,25.5,46.59666667,25.62857143,42.76857143,27.05,41.69,24.7,45.73,23.23,52.26666667,23.62666667,1,24.54,44.4,24.7,49.66,23.2,46.79,2.25E+01,755.2,56.33333333,3.666666667,25.33333333,1.33E+01,29.19911708,29.19911708
5/27/2016 17:50,420,10,25.5,46.99,25.414,43.036,26.89,41.29,24.7,45.79,23.2,52.2,22.43333333,1,24.5,44.29571429,24.6625,49.51875,23.2,46.8175,2.23E+01,755.2,56.66666667,3.833333333,26.16666667,1.32E+01,6.322783651,6.322783651
5/27/2016 18:00,430,10,25.5,46.6,25.26428571,42.97142857,26.82333333,41.15666667,24.7,45.96333333,23.2,52.2,21.02666667,1,24.5,44.054,24.736,49.736,23.2,46.845,2.22E+01,755.2,57,4,27,1.32E+01,34.11885059,34.11885059
3/22/2016 22:30,40,0,23,38.16333333,21,39.36333333,22.2225,37.59,21.575,37.79,20.5,59.45666667,5.333333333,65.46666667,19.79,35.09,23.6,39.76666667,19.7,38.06666667,5.40E+00,756.15,92,2.5,62,4.15E+00,20.38404959,20.38404959
3/22/2016 22:40,50,0,23,38.23,20.85666667,39.76666667,22.2,37.59,21.5,37.79,20.6,53.8,5.3,66.66666667,19.79,35.26666667,23.6,40.3,19.76,38.52666667,5.53E+00,756.1666667,92.66666667,3,61.66666667,4.40E+00,33.18818174,33.18818174
3/22/2016 22:50,70,0,22.92666667,38.36333333,20.79,40.1,22.16666667,37.59,21.39,37.7,20.66666667,51.46666667,5.366666667,67.46,19.79,35.46666667,23.6,40.63333333,19.7,38.73,5.67E+00,756.1833333,93.33333333,3.5,61.33333333,4.65E+00,2.483927342,2.483927342
3/22/2016 23:00,60,0,22.89,38.43333333,20.66666667,40.43333333,22.1,37.59,21.39,37.62666667,20.65,49.5,5.53,67.96333333,19.79,35.73,23.53333333,41.09666667,19.7,38.86333333,5.80E+00,756.2,94,4,61,4.90E+00,24.77666079,24.77666079
3/22/2016 23:10,50,0,22.89,38.56,20.6,40.63333333,22.1,37.59,21.35666667,37.59,20.7,48.3,5.656666667,68.09,19.79,35.86333333,23.6,41.29,19.73,39.09,5.78E+00,756.1916667,93.91666667,3.833333333,61.08333333,4.87E+00,39.25615626,39.25615626
3/22/2016 23:20,40,0,22.79,38.62666667,20.5,40.93333333,22.1,37.59,21.29,37.53,20.7,47.56666667,5.726666667,68.16,19.79,36.06666667,23.5,41.23,19.79,39.16333333,5.77E+00,756.1833333,93.83333333,3.666666667,61.16666667,4.83E+00,45.31168316,45.31168316
3/22/2016 23:30,60,0,22.79,38.7,20.42666667,41.06,22.1,37.59,21.29,37.5,20.63333333,46.79666667,5.866666667,68.43333333,19.79,36.26,23.5,41.43,19.7,39.29,5.75E+00,756.175,93.75,3.5,61.25,4.80E+00,1.049839193,1.049839193
3/22/2016 23:40,50,0,22.76,38.73,20.29,41.32666667,22.1,37.59,21.29,37.5,20.7,46.39,5.9,68.22666667,19.82333333,36.46333333,23.46333333,41.46666667,19.7,39.29,5.73E+00,756.1666667,93.66666667,3.333333333,61.33333333,4.77E+00,8.143164683,8.143164683
3/22/2016 23:50,60,0,22.7,38.79,20.29,41.46666667,22.1,37.59,21.26,37.46666667,20.6,45.83333333,5.975,68.3475,19.82333333,36.59,23.32333333,41.4,19.76,39.29,5.72E+00,756.1583333,93.58333333,3.166666667,61.41666667,4.73E+00,32.74535629,32.74535629
3/23/2016 0:00,60,0,22.7,38.79,20.16666667,41.53,22.1,37.59,21.2,37.4,20.6,45.5,6.06,68.09,19.89,36.7,23.2,41.32666667,19.7,39.29,5.70E+00,756.15,93.5,3,61.5,4.70E+00,44.37421632,44.37421632
3/23/2016 0:10,60,0,22.7,38.79,20.1,41.59,22.1,37.66333333,21.2,37.29,20.6,45.13333333,6.09,67.7,19.89,36.7,23.2,41.46666667,19.7,39.5,5.68E+00,756.1416667,93.41666667,2.833333333,61.58333333,4.67E+00,46.27165863,46.27165863
3/23/2016 0:20,50,0,22.6,38.79,20.06666667,41.7,22.1,37.59,21.13333333,37.29,20.6,44.86,6.09,67.29333333,19.82333333,36.86,23.16666667,41.65666667,19.76,39.56,5.67E+00,756.1333333,93.33333333,2.666666667,61.66666667,4.63E+00,22.44106953,22.44106953
3/23/2016 0:30,50,0,22.6,38.79,19.9725,41.7,22.1,37.59,21.1,37.29,20.6,44.56,6.09,66.83,19.89,37.06,23.1,41.99,19.7,39.62666667,5.65E+00,756.125,93.25,2.5,61.75,4.60E+00,1.990119473,1.990119473
3/23/2016 0:40,50,0,22.55,38.79,19.89,41.76,22.1,37.59,21.1,37.29,20.6,44.43333333,6.09,66.56333333,19.92666667,37.23,23.1,42.23,19.7,39.76,5.63E+00,756.1166667,93.16666667,2.333333333,61.83333333,4.57E+00,33.0523495,33.0523495
3/23/2016 0:50,50,0,22.5,38.79,19.85666667,41.79,22.1,37.59,21.06666667,37.22333333,20.5,44.16333333,6.09,65.95666667,19.92666667,37.29,23.03333333,42.23,19.7,39.82666667,5.62E+00,756.1083333,93.08333333,2.166666667,61.91666667,4.53E+00,8.702113805,8.702113805
3/23/2016 1:00,50,0,22.5,38.79,19.79,41.79,22.1,37.66333333,21,37.09,20.5,43.96333333,6.03,65.62333333,19.92666667,37.29,23,42.46333333,19.7225,39.975,5.60E+00,756.1,93,2,62,4.50E+00,1.334471663,1.334471663
3/23/2016 1:10,40,0,22.46333333,38.79,19.7,41.9,22.13333333,37.7,21,37.09,20.5,43.79,6,65.65666667,20,37.29,23,42.66333333,19.79,40.06,5.57E+00,756.0666667,93.33333333,2,62,4.52E+00,31.32968689,31.32968689
3/23/2016 1:20,60,0,22.39,38.79,19.7,41.96666667,22.2,37.76,21,37.09,20.5,43.73,6,65.53,19.92666667,37.29,23,42.79,19.76,40.23,5.53E+00,756.0333333,93.66666667,2,62,4.53E+00,1.578637154,1.578637154
3/23/2016 1:30,60,0,22.39,38.79,19.66666667,42,22.23,37.82666667,21,37.09,20.5,43.56,6,65.4,20,37.3725,22.9725,42.79,19.76,40.36333333,5.50E+00,756,94,2,62,4.55E+00,5.740512221,5.740512221
3/23/2016 1:40,50,0,22.32333333,38.79,19.6,42,22.29,37.9,21,37.09,20.5,43.5,6,65.4,20,37.4,22.89,42.79,19.79,40.56666667,5.47E+00,755.9666667,94.33333333,2,62,4.57E+00,47.58396269,47.58396269
3/23/2016 1:50,60,0,22.29,38.79,19.5,42.09,22.29,37.9,20.92666667,37.09,20.39,43.26,6,65.22666667,19.89,37.36333333,22.89,42.82666667,19.79,40.7,5.43E+00,755.9333333,94.66666667,2,62,4.58E+00,47.77125986,47.77125986
3/23/2016 2:00,50,0,22.29,38.79,19.5,42.16333333,22.32333333,37.93333333,20.89,37.09,20.39,43.12666667,5.933333333,65.16,19.96333333,37.29,22.89,42.96666667,19.79,40.82666667,5.40E+00,755.9,95,2,62,4.60E+00,30.48116962,30.48116962
